Date,Open,High,Low,Close,Volume
22-Apr-16,94.85,96.69,94.21,95.90,15806320
21-Apr-16,97.31,97.38,94.78,94.98,19859384
20-Apr-16,94.34,96.98,93.14,96.77,25633630
19-Apr-16,99.49,101.37,94.20,94.34,55623936
18-Apr-16,109.90,110.70,106.02,108.40,27002576
15-Apr-16,110.64,111.85,109.78,111.51,11722365
14-Apr-16,110.01,111.64,109.15,110.42,9532477
13-Apr-16,108.00,111.28,107.88,109.65,16683395
12-Apr-16,103.15,107.22,102.21,106.98,12310238
11-Apr-16,104.04,104.98,102.62,102.68,7436173
8-Apr-16,105.12,105.33,102.82,103.81,7835963
7-Apr-16,104.31,106.44,103.60,104.45,10735092
6-Apr-16,105.30,106.44,104.25,104.83,9585918
5-Apr-16,103.47,105.75,103.25,104.94,10034429
4-Apr-16,105.90,105.92,103.20,104.35,10921045
1-Apr-16,102.93,105.79,102.47,105.70,14169471
31-Mar-16,102.43,103.53,101.05,102.23,9742175
30-Mar-16,104.65,104.91,101.48,102.19,14692419
29-Mar-16,101.08,104.33,101.00,104.13,15950603
28-Mar-16,98.34,101.44,97.82,101.21,12407400
24-Mar-16,98.64,98.85,97.07,98.36,10646907
23-Mar-16,99.75,100.39,98.81,99.59,8292315
22-Mar-16,100.48,101.52,99.20,99.84,9039475
21-Mar-16,101.15,102.10,99.50,101.06,9562862
18-Mar-16,100.50,102.41,100.01,101.12,15437295
17-Mar-16,99.05,101.39,99.00,99.72,13755028
16-Mar-16,97.53,99.73,97.50,99.35,12598569
15-Mar-16,97.87,98.51,96.43,97.86,9691768
14-Mar-16,97.20,99.42,97.17,98.13,11223226
11-Mar-16,99.51,99.60,96.05,97.66,15097852
10-Mar-16,98.18,99.74,95.45,97.36,16979357
9-Mar-16,96.82,98.37,95.00,98.00,12279463
8-Mar-16,95.00,98.28,94.50,96.23,14750241
7-Mar-16,101.00,101.79,95.25,95.49,23855151
4-Mar-16,98.76,102.22,98.32,101.58,23388393
3-Mar-16,97.83,98.35,95.39,97.93,15303552
2-Mar-16,98.01,99.48,95.90,97.61,19088404
1-Mar-16,94.58,99.16,93.61,98.30,16997749
29-Feb-16,94.81,97.20,93.34,93.41,13157071
26-Feb-16,95.30,97.48,94.25,94.79,16947865
25-Feb-16,91.08,94.81,90.21,94.53,17852939
24-Feb-16,88.50,91.76,86.70,91.61,15908434
23-Feb-16,91.40,92.49,89.05,89.12,12709044
22-Feb-16,90.75,93.11,88.30,91.93,16298806
19-Feb-16,89.98,91.40,88.03,89.23,14239479
18-Feb-16,94.80,94.90,90.31,90.49,17631232
17-Feb-16,90.13,94.77,89.64,94.76,18245146
16-Feb-16,89.00,90.14,87.54,89.05,16313155
12-Feb-16,86.64,89.72,85.26,87.40,19017611
11-Feb-16,87.42,88.39,82.91,86.35,21768153
10-Feb-16,89.00,92.21,87.42,88.45,23084070
9-Feb-16,81.75,88.40,81.55,86.13,25822376
8-Feb-16,80.57,84.70,79.95,83.32,24916105
5-Feb-16,88.23,88.95,81.86,82.79,25859696
4-Feb-16,89.50,91.25,86.54,89.71,19055444
3-Feb-16,92.41,92.69,86.14,90.74,27402372
2-Feb-16,95.54,96.65,90.73,91.49,21860012
1-Feb-16,91.79,97.18,91.30,94.09,19617993
29-Jan-16,92.00,94.39,90.63,91.84,20420757
28-Jan-16,93.84,95.25,90.11,94.41,24373250
27-Jan-16,96.61,97.85,90.59,91.15,25314581
26-Jan-16,99.74,100.55,94.85,97.83,22024725
25-Jan-16,99.78,102.68,99.00,99.12,20250759
22-Jan-16,104.72,104.99,99.22,100.72,26772742
21-Jan-16,108.32,108.51,102.10,102.35,30919715
20-Jan-16,108.91,109.99,97.05,107.74,52926288
19-Jan-16,106.57,110.14,105.55,107.89,33267428
15-Jan-16,102.43,105.50,101.72,104.04,19651281
14-Jan-16,105.65,109.25,101.21,107.06,23620712
13-Jan-16,114.43,114.48,104.53,106.56,24798764
12-Jan-16,116.11,117.78,115.08,116.58,15133522
11-Jan-16,112.13,116.79,111.20,114.97,21920390
8-Jan-16,116.33,117.72,111.10,111.39,18067140
7-Jan-16,116.36,122.18,112.29,114.56,33636661
6-Jan-16,105.29,117.91,104.96,117.68,33045656
5-Jan-16,110.45,110.58,105.85,107.66,17664562
4-Jan-16,109.00,110.00,105.21,109.96,20733233
31-Dec-15,116.21,117.46,114.28,114.38,9273008
30-Dec-15,118.95,119.02,116.43,116.71,8149686
29-Dec-15,118.19,119.60,116.92,119.12,8159211
28-Dec-15,117.26,117.35,113.85,117.11,8424276
24-Dec-15,118.22,118.80,117.30,117.33,3541403
23-Dec-15,116.91,118.56,115.78,118.16,9324333
22-Dec-15,117.30,117.43,114.86,116.24,9689044
21-Dec-15,119.51,119.59,115.66,116.63,11669993
18-Dec-15,120.85,122.19,117.92,118.02,17948060
17-Dec-15,123.97,126.35,122.42,122.51,17284872
16-Dec-15,119.80,123.00,118.09,122.64,13180982
15-Dec-15,121.93,123.30,118.54,118.60,11759993
14-Dec-15,119.77,120.90,114.66,120.67,18679314
11-Dec-15,121.45,123.00,118.60,118.91,16105315
10-Dec-15,124.50,125.21,121.62,122.91,13474119
9-Dec-15,127.70,128.78,122.33,124.20,17788797
8-Dec-15,121.51,128.24,121.10,126.98,18591147
7-Dec-15,131.65,133.27,122.75,125.36,23351610
