"Date,Open,High,Low,Close,Volume"
"31-Mar-16,102.43,103.53,101.05,102.23,9742175"
"30-Mar-16,104.65,104.91,101.48,102.19,14692419"
"29-Mar-16,101.08,104.33,101.00,104.13,15950603"
"28-Mar-16,98.34,101.44,97.82,101.21,12407400"
"24-Mar-16,98.64,98.85,97.07,98.36,10646907"
"23-Mar-16,99.75,100.39,98.81,99.59,8292315"
"22-Mar-16,100.48,101.52,99.20,99.84,9039475"
"21-Mar-16,101.15,102.10,99.50,101.06,9562862"
"18-Mar-16,100.50,102.41,100.01,101.12,15437295"
"17-Mar-16,99.05,101.39,99.00,99.72,13755028"
"16-Mar-16,97.53,99.73,97.50,99.35,12598569"
"15-Mar-16,97.87,98.51,96.43,97.86,9691768"
"14-Mar-16,97.20,99.42,97.17,98.13,11223226"
"11-Mar-16,99.51,99.60,96.05,97.66,15097852"
"10-Mar-16,98.18,99.74,95.45,97.36,16979357"
"9-Mar-16,96.82,98.37,95.00,98.00,12279463"
"8-Mar-16,95.00,98.28,94.50,96.23,14750241"
"7-Mar-16,101.00,101.79,95.25,95.49,23855151"
"4-Mar-16,98.76,102.22,98.32,101.58,23388393"
"3-Mar-16,97.83,98.35,95.39,97.93,15303552"
"2-Mar-16,98.01,99.48,95.90,97.61,19088404"
"1-Mar-16,94.58,99.16,93.61,98.30,16997749"
